stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
120411,1634,Laivakangas E,,65.085615,25.684454,3,http://oulunliikenne.fi/1634,0,,Europe/Helsinki
120451,1677,Pielikuja E,,65.076326,25.527912,2,http://oulunliikenne.fi/1677,0,,Europe/Helsinki
183951,3169,Ulkometsäntie E,,64.950821,25.555507,2,http://oulunliikenne.fi/3169,0,,Europe/Helsinki
189657,1936,Kemintie P,,65.035249,25.468185,2,http://oulunliikenne.fi/1936,0,,Europe/Helsinki
185770,3299,Ahmatie E,,65.03093,25.48015,2,http://oulunliikenne.fi/3299,0,,Europe/Helsinki
101287,1897,Parolanmäki P,,65.03294,26.046305,4,http://oulunliikenne.fi/1897,0,,Europe/Helsinki
98726,2625,Vasankangas th E,,64.924303,25.750991,3,http://oulunliikenne.fi/2625,0,,Europe/Helsinki
98701,2263,Poikkimaantie E,,64.99258,25.534218,2,http://oulunliikenne.fi/2263,0,,Europe/Helsinki
101645,1480,Kirkonniementie P,,65.13305200000002,25.759174,3,http://oulunliikenne.fi/1480,0,,Europe/Helsinki
184250,1213,Paasonperä P,,65.311297,25.481317,4,http://oulunliikenne.fi/1213,0,,Europe/Helsinki
184263,3326,Vainiontie P,,65.195908,25.477402,4,http://oulunliikenne.fi/3326,0,,Europe/Helsinki
120614,1864,Tullimiehentie P,,65.04521,25.444209,2,http://oulunliikenne.fi/1864,0,,Europe/Helsinki
152750,1804,Puuperäntie E,,65.05129100000002,25.629218,2,http://oulunliikenne.fi/1804,0,,Europe/Helsinki
98774,2970,Kellotie E,,64.809335,25.985638,4,http://oulunliikenne.fi/2970,0,,Europe/Helsinki
101114,8329,Askeli E,,65.0288,24.773,5,http://oulunliikenne.fi/8329,0,,Europe/Helsinki
121322,2870,Simontaival E,,64.845107,25.664216,4,http://oulunliikenne.fi/2870,0,,Europe/Helsinki
98744,2800,Laitasaaren koulu P,,64.873559,25.860013,4,http://oulunliikenne.fi/2800,0,,Europe/Helsinki
309966,2585,Lassilan th P,,64.948146,25.405207,3,http://oulunliikenne.fi/2585,0,,Europe/Helsinki
152768,1854,Pääkankaantie E,,65.0422,25.665551,3,http://oulunliikenne.fi/1854,0,,Europe/Helsinki
150247,1814,Syynimaa E,,65.051659,25.477143,2,http://oulunliikenne.fi/1814,0,,Europe/Helsinki
120997,2375,Haarankankaantie E,,64.973078,25.581713,2,http://oulunliikenne.fi/2375,0,,Europe/Helsinki
120537,1763,Yliopiston eläintarha P,,65.061761,25.458842,2,http://oulunliikenne.fi/1763,0,,Europe/Helsinki
101689,1176,Tapio P,,65.31909400000002,25.419516,4,http://oulunliikenne.fi/1176,0,,Europe/Helsinki
150080,2908,Huovinen P,,64.830635,25.678101,4,http://oulunliikenne.fi/2908,0,,Europe/Helsinki
98742,2791,Tuomi talli P,,64.880962,25.84866,4,http://oulunliikenne.fi/2791,0,,Europe/Helsinki
307144,3365,Vedenneidontie E,,64.934662,25.564241,3,http://oulunliikenne.fi/3365,0,,Europe/Helsinki
305705,2073,Kanervatie E,,65.015908,25.551034,2,http://oulunliikenne.fi/2073,0,,Europe/Helsinki
120559,1787,Rakentajantie E,,65.056905,25.458591,2,http://oulunliikenne.fi/1787,0,,Europe/Helsinki
150366,1302,Vahtola P2,,65.207788,25.330598,3,http://oulunliikenne.fi/1302,0,,Europe/Helsinki
98813,8231,Aksilan th E,,64.7802,26.3816,5,http://oulunliikenne.fi/8231,0,,Europe/Helsinki
101072,2465,Niemenväli P,,64.965811,25.365094,3,http://oulunliikenne.fi/2465,0,,Europe/Helsinki
120928,2289,Mäntyrinne P,,64.98791900000002,25.564164,2,http://oulunliikenne.fi/2289,0,,Europe/Helsinki
148101,2367,Kärppä taimi E,,64.974536,25.637025,2,http://oulunliikenne.fi/2367,0,,Europe/Helsinki
98793,8210,Torpparintie E,,64.7923,26.0959,5,http://oulunliikenne.fi/8210,0,,Europe/Helsinki
101744,1067,Puolakka E,,65.364221,25.789631,5,http://oulunliikenne.fi/1067,0,,Europe/Helsinki
120625,1875,Isko P,,65.042441,25.476692,2,http://oulunliikenne.fi/1875,0,,Europe/Helsinki
101548,1708,Kuivasojan koulu P,,65.072739,25.409627,2,http://oulunliikenne.fi/1708,0,,Europe/Helsinki
